,size,num_threads,load_t,calc_t
0,3,1,52.1,81.1
1,3,2,56.3,121.1
2,3,3,58.8,123.6
3,3,4,57.8,183.4
4,3,6,57.7,311.1
5,3,8,56.7,406.0
6,3,16,46.8,157.7
7,3,24,45.4,157.2
8,3,32,46.4,164.5
9,10,1,63.5,77.4
10,10,2,61.5,122.6
11,10,3,63.6,135.0
12,10,4,60.6,183.9
13,10,6,60.1,297.5
14,10,8,59.6,389.1
15,10,16,62.8,679.7
16,10,24,61.2,1000.6
17,10,32,61.7,1359.5
18,100,1,336.9,194.1
19,100,2,280.7,210.6
20,100,3,284.0,235.9
21,100,4,279.1,260.6
22,100,6,283.5,393.5
23,100,8,280.6,452.5
24,100,16,277.1,778.6
25,100,24,277.0,1136.1
26,100,32,280.3,1485.9
27,500,1,6372.1,2641.4
28,500,2,6819.8,1869.6
29,500,3,7654.1,1811.9
30,500,4,7714.0,1801.2
31,500,6,7695.5,1925.5
32,500,8,7561.4,1995.6
33,500,16,7550.4,2437.7
34,500,24,7475.3,2822.7
35,500,32,7362.0,3257.6
36,1000,1,28473.0,8475.5
37,1000,2,27716.6,6473.4
38,1000,3,27570.0,5981.4
39,1000,4,27575.0,5484.5
40,1000,6,27652.8,5688.9
41,1000,8,27927.3,5667.8
42,1000,16,27841.4,6129.1
43,1000,24,28570.7,6710.3
44,1000,32,28243.9,7208.8
45,3000,1,243106.2,75665.3
46,3000,2,241495.3,58532.1
47,3000,3,235505.6,54430.0
48,3000,4,235397.6,51763.2
49,3000,6,235225.5,53232.0
50,3000,8,235291.3,51863.8
51,3000,16,235185.5,52943.9
52,3000,24,235893.1,53754.9
53,3000,32,236643.0,54115.6
54,5000,1,651204.1,209701.0
55,5000,2,656570.4,159318.3
56,5000,3,648315.7,148626.9
57,5000,4,651089.7,138866.2
58,5000,6,648384.7,142579.4
59,5000,8,645762.6,142423.7
60,5000,16,652317.3,147216.6
61,5000,24,668271.1,150112.2
62,5000,32,648044.0,148588.1
63,10000,1,2578999.2,838504.5
64,10000,2,2656718.8,630979.6
65,10000,3,2642527.8,592991.7
66,10000,4,2592539.9,551745.5
67,10000,6,2585486.1,555175.2
68,10000,8,2575978.5,549713.8
69,10000,16,2584157.6,555414.5
70,10000,24,2583397.8,564885.5
71,10000,32,2589497.9,572775.4
