,size,num_threads,calc_t
0,3,1,5.2
1,3,2,60.1
2,3,3,72.6
3,3,4,96.2
4,3,6,123.4
5,3,8,153.5
6,3,16,490.9
7,3,24,676.8
8,3,32,870.1
9,10,1,4.9
10,10,2,55.6
11,10,3,73.8
12,10,4,95.7
13,10,6,124.0
14,10,8,165.9
15,10,16,493.2
16,10,24,673.2
17,10,32,871.3
18,100,1,81.9
19,100,2,110.6
20,100,3,114.7
21,100,4,117.8
22,100,6,140.5
23,100,8,194.9
24,100,16,539.4
25,100,24,761.0
26,100,32,938.8
27,500,1,2319.4
28,500,2,1265.4
29,500,3,1005.7
30,500,4,829.3
31,500,6,684.3
32,500,8,702.4
33,500,16,1571.5
34,500,24,1778.6
35,500,32,1819.3
36,1000,1,8415.6
37,1000,2,4390.1
38,1000,3,3278.8
39,1000,4,2912.0
40,1000,6,2187.8
41,1000,8,2212.5
42,1000,16,3712.2
43,1000,24,3989.3
44,1000,32,3509.7
45,3000,1,75499.3
46,3000,2,46543.5
47,3000,3,31843.9
48,3000,4,23861.9
49,3000,6,29226.4
50,3000,8,22667.5
51,3000,16,27797.0
52,3000,24,27944.5
53,3000,32,25038.9
54,5000,1,209582.2
55,5000,2,128908.4
56,5000,3,86298.9
57,5000,4,65186.8
58,5000,6,64776.3
59,5000,8,62640.1
60,5000,16,68992.5
61,5000,24,67462.6
62,5000,32,66901.3
63,10000,1,838157.8
64,10000,2,515043.8
65,10000,3,345786.8
66,10000,4,261418.2
67,10000,6,310638.1
68,10000,8,251262.4
69,10000,16,260354.7
70,10000,24,259217.5
71,10000,32,257671.4
